rankbreeze_Id,rental_id,orig_price_per_night,cleaning_fee,service_fee,total_price,price_per_night,check_in_date,check_out_date
51045,862225236403589050,0.0,299.0,173.0,1397.0,231.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,255.0,146.0,1181.0,195.0,2024-06-11,2024-06-15
51045,862225236403589050,505.0,200.0,268.0,2163.0,424.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,599.0,508.0,4106.0,750.0,2024-06-11,2024-06-15
51045,862225236403589050,412.0,279.0,191.0,1541.0,268.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,420.0,269.0,2174.0,371.0,2024-06-11,2024-06-15
51045,862225236403589050,224.0,250.0,144.0,1165.0,193.0,2024-06-11,2024-06-15
51045,862225236403589050,497.0,480.0,293.0,2365.0,398.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,350.0,207.0,1673.0,279.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,229.0,150.0,1212.0,208.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,450.0,211.0,1706.0,261.0,2024-06-11,2024-06-15
51045,862225236403589050,501.0,485.0,295.0,2382.0,401.0,2024-06-11,2024-06-15
51045,862225236403589050,196.0,275.0,139.0,1122.0,177.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,369.0,241.0,1949.0,335.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,299.0,173.0,1397.0,231.0,2024-06-11,2024-06-15
51045,862225236403589050,412.0,369.0,232.0,1877.0,319.0,2024-06-11,2024-06-15
51045,862225236403589050,475.0,429.0,286.0,2312.0,399.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,385.0,336.0,2717.0,499.0,2024-06-11,2024-06-15
51045,862225236403589050,400.0,385.0,239.0,1934.0,328.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,325.0,171.0,1379.0,221.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,240.0,143.0,1153.0,193.0,2024-06-11,2024-06-15
51045,862225236403589050,322.0,299.0,193.0,1563.0,268.0,2024-06-11,2024-06-15
51045,862225236403589050,310.0,275.0,179.0,1450.0,249.0,2024-06-11,2024-06-15
